epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8344.49,0.67308,0.74453,0.8953,0.95632,0.95905,0.96986,0.75843,0.80773,0.80757,0.95854,0.000494885,0.000494885,0.000494885
43,8641.93,0.65529,0.73661,0.89479,0.97189,0.966,0.96783,0.79725,0.73933,0.79987,0.96828,0.000486639,0.000486639,0.000486639
44,8929.73,0.64212,0.71798,0.88591,0.95933,0.96248,0.97347,0.80177,0.71726,0.79122,0.94854,0.000478392,0.000478392,0.000478392
45,9192.54,0.64186,0.71419,0.88431,0.95968,0.97393,0.97094,0.78962,0.74052,0.77569,0.95952,0.000470145,0.000470145,0.000470145
46,9489.47,0.65534,0.68882,0.87737,0.9532,0.97205,0.97016,0.80395,0.70724,0.75961,0.94204,0.000461898,0.000461898,0.000461898
47,9784.19,0.65214,0.67156,0.88347,0.97132,0.94391,0.9753,0.80395,0.71141,0.75851,0.93612,0.000453652,0.000453652,0.000453652
48,10084,0.65931,0.65819,0.88289,0.97584,0.94988,0.97533,0.80161,0.71781,0.74718,0.93021,0.000445405,0.000445405,0.000445405
49,10372.6,0.62847,0.64325,0.87026,0.96285,0.96399,0.97719,0.81016,0.71417,0.73359,0.9368,0.000437158,0.000437158,0.000437158
50,10674.2,0.63324,0.63839,0.88153,0.96702,0.96461,0.97438,0.79213,0.76588,0.72504,0.95965,0.000428912,0.000428912,0.000428912
51,10972.6,0.62525,0.62917,0.86735,0.97112,0.95516,0.97728,0.78948,0.75304,0.73634,0.93867,0.000420665,0.000420665,0.000420665
52,11268.8,0.62006,0.65864,0.8699,0.96722,0.96258,0.97576,0.78821,0.74578,0.74645,0.94278,0.000412418,0.000412418,0.000412418
53,11564.6,0.59707,0.61284,0.8739,0.9575,0.96975,0.96439,0.79161,0.71379,0.69762,0.94558,0.000404172,0.000404172,0.000404172
54,11857.9,0.60246,0.63663,0.86092,0.95624,0.9552,0.97396,0.79128,0.72331,0.71481,0.91582,0.000395925,0.000395925,0.000395925
55,12144.3,0.60257,0.61598,0.86549,0.97347,0.96465,0.97558,0.79488,0.72505,0.71135,0.9305,0.000387678,0.000387678,0.000387678
56,12433.7,0.62096,0.59136,0.86441,0.9629,0.98146,0.97643,0.80742,0.70474,0.64743,0.91213,0.000379431,0.000379431,0.000379431
57,12721.8,0.59512,0.57943,0.86878,0.96562,0.98187,0.97872,0.80698,0.68902,0.66022,0.91663,0.000371185,0.000371185,0.000371185
58,13011.2,0.57859,0.58275,0.87774,0.9714,0.97325,0.97581,0.80352,0.70071,0.69238,0.92476,0.000362938,0.000362938,0.000362938
59,13301.4,0.59828,0.5802,0.86564,0.96648,0.9679,0.97536,0.80137,0.70992,0.66366,0.92793,0.000354691,0.000354691,0.000354691
60,13590,0.59399,0.58042,0.87105,0.96814,0.96094,0.97489,0.79004,0.73,0.663,0.92395,0.000346445,0.000346445,0.000346445
61,13845.5,0.57063,0.56503,0.85687,0.96861,0.96143,0.97802,0.80824,0.72353,0.67903,0.93458,0.000338198,0.000338198,0.000338198
62,13975.4,0.57937,0.55021,0.86849,0.97063,0.96195,0.9772,0.8078,0.7335,0.68653,0.93242,0.000329951,0.000329951,0.000329951
63,14085.8,0.58652,0.56005,0.87247,0.96869,0.96247,0.9734,0.81909,0.70317,0.66638,0.91708,0.000321705,0.000321705,0.000321705
64,14275.9,0.57423,0.53639,0.85257,0.96596,0.97222,0.97187,0.81782,0.68417,0.64142,0.92648,0.000313458,0.000313458,0.000313458
65,14557,0.58895,0.53871,0.86259,0.97139,0.97393,0.97167,0.80797,0.67733,0.62835,0.91989,0.000305211,0.000305211,0.000305211
66,14834.9,0.56152,0.55251,0.86976,0.95228,0.97038,0.97398,0.81823,0.66724,0.6177,0.91576,0.000296964,0.000296964,0.000296964
67,15110.4,0.5497,0.53694,0.84996,0.96345,0.96429,0.97406,0.81395,0.66698,0.61112,0.9151,0.000288718,0.000288718,0.000288718
68,15390.1,0.55498,0.51938,0.86195,0.95296,0.96312,0.97717,0.80339,0.69806,0.62056,0.93437,0.000280471,0.000280471,0.000280471
