epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,8574.92,0.57266,0.44655,1.06392,0.00338,0.83469,0.82261,0.78377,0.59978,0.63106,0.41584,1.06197,0.00195,0.0006436,0.0006436,0.0006436
38,8745.13,0.5651,0.4342,1.06613,0.00333,0.80705,0.82907,0.77166,0.59915,0.62958,0.40109,1.06701,0.00208,0.0006337,0.0006337,0.0006337
39,8915.26,0.57296,0.43898,1.06968,0.00313,0.82411,0.83462,0.77622,0.59378,0.6605,0.39903,1.05376,0.00242,0.0006238,0.0006238,0.0006238
40,9086.58,0.56742,0.44128,1.07919,0.00344,0.83062,0.82692,0.77544,0.59711,0.63827,0.39472,1.06023,0.00207,0.0006139,0.0006139,0.0006139
41,9255.65,0.55517,0.43307,1.05396,0.00314,0.81745,0.82038,0.76158,0.58802,0.64052,0.39658,1.05539,0.00204,0.000604,0.000604,0.000604
42,9426.64,0.56394,0.43755,1.065,0.0032,0.8404,0.83072,0.77923,0.59978,0.62373,0.39799,1.05777,0.00188,0.0005941,0.0005941,0.0005941
43,9595.57,0.55839,0.42843,1.06338,0.00297,0.82501,0.82745,0.77156,0.58963,0.63923,0.39595,1.04631,0.00206,0.0005842,0.0005842,0.0005842
44,9766.77,0.55409,0.43475,1.05447,0.00342,0.82682,0.82628,0.77404,0.59415,0.63478,0.38931,1.05209,0.00206,0.0005743,0.0005743,0.0005743
45,9936.47,0.55295,0.43342,1.05882,0.00349,0.8202,0.8364,0.77489,0.59912,0.62554,0.39714,1.05451,0.00184,0.0005644,0.0005644,0.0005644
46,10107.8,0.54813,0.43149,1.04656,0.00316,0.82426,0.83059,0.76632,0.58764,0.62879,0.39592,1.03384,0.00192,0.0005545,0.0005545,0.0005545
47,10277.5,0.54136,0.42337,1.05527,0.00327,0.83929,0.84292,0.7846,0.60714,0.61064,0.37884,1.04627,0.002,0.0005446,0.0005446,0.0005446
48,10448.2,0.54781,0.41943,1.05712,0.00308,0.83055,0.83075,0.773,0.59513,0.6234,0.38195,1.0438,0.00189,0.0005347,0.0005347,0.0005347
49,10619.7,0.54484,0.41399,1.04369,0.00346,0.82137,0.82414,0.76554,0.5952,0.61333,0.38223,1.0398,0.00182,0.0005248,0.0005248,0.0005248
50,10789,0.52975,0.40467,1.04504,0.00293,0.83679,0.83773,0.78709,0.60456,0.60677,0.38098,1.04146,0.00182,0.0005149,0.0005149,0.0005149
51,10958.4,0.54263,0.42573,1.04867,0.00293,0.83031,0.82848,0.77561,0.59987,0.61371,0.39109,1.04738,0.00197,0.000505,0.000505,0.000505
52,11317.4,0.52722,0.40975,1.04337,0.00307,0.83243,0.8318,0.77394,0.60143,0.60852,0.3773,1.03898,0.00189,0.0004951,0.0004951,0.0004951
53,11843.8,0.53599,0.40634,1.03815,0.00304,0.83522,0.83126,0.77654,0.6088,0.60439,0.37908,1.05712,0.00197,0.0004852,0.0004852,0.0004852
54,12368.6,0.54181,0.41732,1.04235,0.00332,0.83174,0.83175,0.77784,0.60816,0.6106,0.37803,1.03621,0.00178,0.0004753,0.0004753,0.0004753
55,12886,0.52254,0.40547,1.03051,0.00301,0.82255,0.82822,0.7759,0.60432,0.58766,0.37027,1.04198,0.00185,0.0004654,0.0004654,0.0004654
56,13406.9,0.52602,0.40265,1.04403,0.00305,0.82932,0.83503,0.77929,0.59894,0.61321,0.38059,1.03936,0.00185,0.0004555,0.0004555,0.0004555
57,13929,0.51409,0.3985,1.03049,0.00306,0.82994,0.83139,0.77822,0.5967,0.60905,0.38396,1.03187,0.00188,0.0004456,0.0004456,0.0004456
58,14438.6,0.52327,0.4009,1.0254,0.00303,0.83148,0.81675,0.77544,0.60537,0.59523,0.38623,1.03188,0.0018,0.0004357,0.0004357,0.0004357
59,14964.6,0.51858,0.40331,1.02577,0.00281,0.81344,0.82737,0.77226,0.60126,0.60914,0.37434,1.02979,0.00178,0.0004258,0.0004258,0.0004258
60,15486.5,0.51408,0.39268,1.02369,0.00291,0.82636,0.82872,0.77751,0.60846,0.58406,0.3683,1.01834,0.00175,0.0004159,0.0004159,0.0004159
61,16008.7,0.53085,0.39803,1.03087,0.00279,0.82556,0.83021,0.7712,0.59806,0.59319,0.37508,1.02337,0.00178,0.000406,0.000406,0.000406
